source_id,school_year,term,grade,district,exam_name,question_no,initial,answer,alternatives,source_type,confidence,source_url,note
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,56,h,happens,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,57,u,usually,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,58,t,them,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,59,b,before,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,搜索片段有拼写缺字；按语义校正为 before，需原卷复核
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,60,s,sweeping,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,61,d,dinner,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,62,m,much,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,63,w,watch,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,64,n,new,,搜索片段,中,https://m.51jiaoxi.com/doc-15346090.html,页面正文受验证限制；答案来自搜索片段
TJBQ-2023-2024-QS,2023-2024,七上期末,七年级,天津部分区,天津市部分区2023-2024七年级上学期期末英语试卷及答案,65,a,also,always,搜索片段,低,https://m.51jiaoxi.com/doc-15346090.html,搜索片段显示 also/always 变体不清，需原卷复核
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,60,o,over,,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段只显示 60-65；56-59 未取得
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,61,p,photos,pictures,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段显示 photos/pictures
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,62,l,lying,,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段只显示 60-65；56-59 未取得
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,63,w,where,,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段只显示 60-65；56-59 未取得
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,64,i,it,,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段只显示 60-65；56-59 未取得
HB-2022-2023-QS,2022-2023,七上期末,七年级,河北区,2022-2023学年天津市河北区七年级上册期末英语试卷及答案,65,l,leave,,搜索片段,中,https://m.51jiaoxi.com/doc-15045727.html,搜索片段只显示 60-65；56-59 未取得
